user,targetUsd,currentUsd,deltaUsd,action
0x00ce968a3678cdabfe3715101d9c7cb328135296,10.0,10.0,0.0,skip-already-correct
0x0245143995ee2a729d4f5391a68726b47db5050f,100.0,100.0,0.0,skip-already-correct
0x02d4c28e34b5db699480d1332599a51039cbb445,20.0,20.0,0.0,skip-already-correct
0x033bcb901cbfcab1180a4888cf34ef6c032bf4b1,10.0,10.0,0.0,skip-already-correct
0x041b310b7e0ab39ca0cc2ce1dd3c12e25f6a3c9e,100.0,100.0,0.0,skip-already-correct
0x05762bf912b0d155ad17fae32096aa3f5b9500a6,20.0,20.0,0.0,skip-already-correct
0x057dee95b5df8cbbaeb0759efd153591680de431,100.0,100.0,0.0,skip-already-correct
0x0742d2fc58566f929e60bd818a10225933eb5198,20.0,20.0,0.0,skip-already-correct
0x08b32b6ae25b181b166bbf207db05438bda50590,20.0,20.0,0.0,skip-already-correct
0x09558ed22ff683210b415f9b91086000ce1813a6,40.0,40.0,0.0,skip-already-correct
0x09ef841042e7edc5719956eeb14e0c82e849cdc2,10.0,10.0,0.0,skip-already-correct
0x0c1d0d7418dc85ca3485b829f5b9075fb456d9cc,20.0,20.0,0.0,skip-already-correct
0x0e7e8b658275fd6046357ae8e2e22be3916001b6,250.0,250.0,0.0,skip-already-correct
0x0ea7403a3c84927554b2d674ea473218dff95244,20.0,20.0,0.0,skip-already-correct
0x0fe5f79a2c3ae8b88b595e0036eb893f7b1ecfcd,10.0,10.0,0.0,skip-already-correct
0x111e48c3cb865032c465202e5d1d3688de2f56da,200.0,200.0,0.0,skip-already-correct
0x115d3cc67e42f3e1c3e49b6c578e7947527e509a,10.0,10.0,0.0,skip-already-correct
0x1160b72e0ed83c893847e2b0825f1e3f008d37c3,24.0,24.0,0.0,skip-already-correct
0x11e6a2b45b1456eec2c3772115ed3a5768ed531d,10.0,10.0,0.0,skip-already-correct
0x128b0140479002c0cc02dcf943f51a0fabccae99,20.0,20.0,0.0,skip-already-correct
0x12f94941ff6f571a33228a67f8944acb33369fc9,70.0,70.0,0.0,skip-already-correct
0x130cc80b522fdb0e9d3897e95ab7d9e5de02efe9,560.0,560.0,0.0,skip-already-correct
0x134fb07bd53259430a2e2937c2fa80a46fe4cce5,10.0,10.0,0.0,skip-already-correct
0x1398e515bac51ab8c8e3e49c4bc60f36b0abc94d,24.0,24.0,0.0,skip-already-correct
0x1433a3fe62e48258ea27b4fb77ea8426393db6e9,200.0,200.0,0.0,skip-already-correct
0x15a8c90599a3a9a3eaff236f8c4165d5e9c8395b,10.0,10.0,0.0,skip-already-correct
0x16fdb82f1d287cf3e40620ac3997962ac55c9c28,20.0,20.0,0.0,skip-already-correct
0x18cd7eb414b2c6251674318b285204957fe09df0,300.0,300.0,0.0,skip-already-correct
0x1904d9b7835ad385a276a306f437d726613b3c0e,25.0,25.0,0.0,skip-already-correct
0x1955b1cf9fe40eae1a9637dd7c6ad78baaf603da,10.0,10.0,0.0,skip-already-correct
0xd3b8d78c447c64ebb1d9815abb1019ea2cba74fb,20.0,20.0,0.0,skip-already-correct
0x19d34671b0b1d94fa73a0fb117798eaae48d4d4f,10.0,10.0,0.0,skip-already-correct
0x1a2e414f6e95cadcf73ae1890796371185d32fcb,100.0,100.0,0.0,skip-already-correct
0x1b12211272b004ddf485dee46b3a212777ca3c77,100.0,100.0,0.0,skip-already-correct
0x1c1cbd5b8ce6980879d08f57da7047d9530eca11,320.0,320.0,0.0,skip-already-correct
0x1c554b4ba2e2ce82dfc2b89591a7ce259c7dcafa,20.0,20.0,0.0,skip-already-correct
0x1c806e07146c414ce1f0406819e02a876c1e70a2,20.0,20.0,0.0,skip-already-correct
0x1d6edffdd6aa8ef937e25c676b808cd89b523b1c,114.0,114.0,0.0,skip-already-correct
0x1e9fb8b65be4cc682bd75e499e6cb9114c4d719e,50.0,50.0,0.0,skip-already-correct
0x1ee2f2ccd2de113b4fbc0b9251680cb27a602881,20.0,20.0,0.0,skip-already-correct
0x2158b8d5b1479c0a5fa210f39c184e747a6981b3,10.0,10.0,0.0,skip-already-correct
0x2192bef742d21b2668db7b97a8a7b8a36604eacf,10.0,10.0,0.0,skip-already-correct
0x21acc7b9d6fc22bcacc04f2d54825db0ef1fdfb3,60.0,60.0,0.0,skip-already-correct
0x22a875bc5465c37199d7a9cef55f385656a9b105,20.0,20.0,0.0,skip-already-correct
0x246e409bdb7444f78e78f86283e353a3e9809114,20.0,20.0,0.0,skip-already-correct
0x24d2ec7f65145cd410fc7f19f4f7a226192fe599,10.0,10.0,0.0,skip-already-correct
0x25f5e82204fe567817d20fc3af35b3182bc2d081,10.0,10.0,0.0,skip-already-correct
0x29bd7ab23437050a21553ed1aab0f1400826f84f,420.0,420.0,0.0,skip-already-correct
0x29d24338cf32621b652222ea2deef4decefb7b7d,110.0,110.0,0.0,skip-already-correct
0x2abe2b8b4ae218d698b17b48fd86ce9a10a3dd56,10.0,10.0,0.0,skip-already-correct
0x2c5cd7b552554b586c3e940a03666497c40e6b95,20.0,20.0,0.0,skip-already-correct
0x2d737ee89b1a33e0ae4c50e109de1a4386825273,20.0,20.0,0.0,skip-already-correct
0x2f519488cf27a109fb15f1b966b65103031b78be,250.0,250.0,0.0,skip-already-correct
0x30ebcabf3d91cee63ac38d7aad6dffc0d8e2b4be,20.0,20.0,0.0,skip-already-correct
0x31a82f0b0b77f6c1eebdf6c4314375991514ed83,10.0,10.0,0.0,skip-already-correct
0x32616ea7150c8ffb26836153f8127df0abb425db,20.0,20.0,0.0,skip-already-correct
0x3309a2038535abe2c418a8ddf06db0301e322f71,10.0,10.0,0.0,skip-already-correct
0x335a4d752c726266a8cde962674770c50b2220ba,1000.0,1000.0,0.0,skip-already-correct
0x338db8cf8bcdc24c6afc5251fd2cdf0f1a877d13,50.0,50.0,0.0,skip-already-correct
0x341eb9c2c61874d23f77b4b2b2825366a3f1d2e8,160.0,160.0,0.0,skip-already-correct
0x3770f0871b28ab40f8b9e1d12fbf04be4305be48,20.0,20.0,0.0,skip-already-correct
0x37bf82de7fd36faf54b2c10f8f0d8eed56e4f421,10.0,10.0,0.0,skip-already-correct
0x37c8abd61d6717bdc579688434c81104b9369b82,20.0,20.0,0.0,skip-already-correct
0x39b4f1a3acfac447feb8efab0f5f5e314ffc852f,400.0,400.0,0.0,skip-already-correct
0x3a43821a97295d6fc0cb712c2707a110a8f4a2e7,908.9,908.9,0.0,skip-already-correct
0x3c0c91b009811df65df540352c407ac2650828bc,10.0,10.0,0.0,skip-already-correct
0x3d11e00f91530286622df463bf138559462715d0,20.0,20.0,0.0,skip-already-correct
0x3eb289d79aacddad757200d8933f11fa219a06ff,10.0,10.0,0.0,skip-already-correct
0x4032fd093e35b40222df9c2caed0c9eb2ddfb4b7,30.0,30.0,0.0,skip-already-correct
0x4125097637c7f8add9ffe7f9abf64c0b5406f31c,50.0,50.0,0.0,skip-already-correct
0x422d45f728e3d2535595209ae752c846692803ea,10.0,10.0,0.0,skip-already-correct
0x430a164ede1661d3109bddaac03ba35b29ad48bd,55.0,55.0,0.0,skip-already-correct
0x443cd25358f1485110ac11ed3d1bc30cda0bd566,330.0,330.0,0.0,skip-already-correct
0x44617fa71c9beb8577f70df5b554d5e91e8966d3,90.0,90.0,0.0,skip-already-correct
0x44e01327ed481e581834517b21bf89eab2b10628,20.0,20.0,0.0,skip-already-correct
0x45cd581299c40c1e2bbb8b6cb02522c370142d62,100.0,100.0,0.0,skip-already-correct
0x46f661d812f84b705a2ea7058397b666aac23e30,100.0,100.0,0.0,skip-already-correct
0x476015cb09e41e30c48fed85f9bf1947aae3d917,80.0,80.0,0.0,skip-already-correct
0x4838fd2361751cdb91ecd8de0cca906990be20bd,10.0,10.0,0.0,skip-already-correct
0x4ae132b9deb3a87f9f2fbb226bb8b936f201fff5,25.0,25.0,0.0,skip-already-correct
0x4cf7328572da81e87d69999cec5e9ddeb882fe4b,20.0,20.0,0.0,skip-already-correct
0x4d58440da35c5e61861c28317c3819adcaf0acd3,10.0,10.0,0.0,skip-already-correct
0x4e7ebbd5210c7fd4c63f89f1829055b496a9e177,10.0,10.0,0.0,skip-already-correct
0x4ea218ed8803de17e16194e06708789b56ddfbff,900.0,900.0,0.0,skip-already-correct
0x50d0d488960d7a1ecd31d762867be4629fa31941,1710.0,1710.0,0.0,skip-already-correct
0x50f17dfc3ebe89c9ba9905612931f3994fa5810d,30.0,30.0,0.0,skip-already-correct
0x523123e0ee29be5d940dda33b808726e5274d918,20.0,20.0,0.0,skip-already-correct
0x52ad561ef36f9aa77ba724484e8f8c2b6b8d84a2,22.0,22.0,0.0,skip-already-correct
0x546b298b44a14fb93998809ce82e43ccad64b10c,10.0,10.0,0.0,skip-already-correct
0x54ee7ae10ed9a7bebdfa0efab88d7334d15db299,100.0,100.0,0.0,skip-already-correct
0x558c3aab1c967f7d7bce906c3aecfdd004b2d8ef,20.0,20.0,0.0,skip-already-correct
0x5596da639ee94956859663bd76e470397fe8fa7c,20.0,20.0,0.0,skip-already-correct
0x56dbb6690487768ea4eb284c3a1b472abc818701,10.0,10.0,0.0,skip-already-correct
0x56dd2491251b36497cef62fbd4e24ee55d1e0d77,395.0,395.0,0.0,skip-already-correct
0x56f2987c0a1b017703a6ffeb91cdb587959447ff,250.0,250.0,0.0,skip-already-correct
0x5a690ebce06b6b698922c95053e11352ede743db,20.0,20.0,0.0,skip-already-correct
0x5b33a958fde0b4161caa1a898400c37f69758d9b,50.0,50.0,0.0,skip-already-correct
0x61b0cb0b884131b6ae6df4c43c7570521dc17360,10.0,10.0,0.0,skip-already-correct
0x6276ac538c9f18f4dc6b058e7d558f0e3d38d952,20.0,20.0,0.0,skip-already-correct
0x6360eabf97be5d81639f5258be76a9a09e644974,10.0,10.0,0.0,skip-already-correct
